id,degree
30863,1
31946,1
15012,1
26121,1
27423,1
29564,1
478,5
1056,1
1931,5
5000,2
8681,1
14731,3
18934,1
22828,2
25976,1
10191,2
12651,4
15470,1
20883,1
21751,2
26371,1
31684,4
406,1
1569,2
30412,178
4269,5
113,4
10363,1
12176,3
13441,1
14545,1
17251,1
21220,9
22268,2
24267,1
25191,4
24256,1
27433,1
28575,1
32427,7
32279,1
4216,1
6125,4
10052,1
19799,1
25359,2
31344,1
4131,39
8500,3
9525,1
9626,1
13447,1
17364,2
16306,1
22458,1
25902,1
27800,2
29330,1
31827,1
31098,5
31811,3
12852,4
24794,1
27951,4
30902,4
15791,70
3733,1
8349,1
10138,1
11968,4
14895,1
29360,1
29841,1
1097,3
4372,1
11499,1
11593,1
13624,1
20720,1
389,1
425,1
4264,2
5637,2
8540,1
11194,4
13091,1
21179,2
29640,1
31789,1
31980,1
32130,1
1655,1
4166,1
6606,1
7414,1
10619,1
13028,1
29343,1
30804,1
1535,1
13229,1
25039,1
30543,1
31551,1
32255,3
32303,3
2669,2
15830,1
16636,2
21468,1
1988,4
1938,1
3395,1
14481,2
15739,1
16933,2
17465,55
26608,1
2654,1
9425,3
11818,1
22785,1
24505,1
27679,1
30148,1
6512,2
10534,1
14382,1
16903,1
28110,1
28570,1
2185,1
8431,2
20768,1
23076,1
31341,5
1932,301
2478,2
2749,1
3447,7
5632,1
8394,2
9796,1
14100,2
18424,1
24467,1
26100,1
26156,1
30528,1
32037,1
14847,1
20230,1
21712,4
30057,3
8330,1
8579,2
12782,11
18084,1
19102,1
22337,2
27530,2
32366,3
32413,1
11824,1
12276,4
13258,1
13605,1
22059,2
28468,1
31757,1
258,1
1054,1
1452,1
5326,2
9919,4
11634,2
12788,2
14089,4
21812,2
27349,2
31223,1
11695,1
16680,1
21728,1
21940,3
22809,1
31752,1
1501,1
1336,1
2496,1
6469,1
15237,2
27372,2
30030,1
30291,1
11860,2
19449,2
539,1
628,1
2946,1
9724,4
13483,6
29347,1
32350,1
32034,2
843,4
14349,1
18663,1
19867,1
27907,3
28871,2
30906,1
31823,1
32217,1
4362,29
6182,1
14691,8
21514,1
27653,1
31971,1
32245,1
32293,1
2013,1
4925,1
6747,5
31244,4
556,1
3226,1
4587,1
6582,1
10802,1
12640,2
19212,1
19859,1
27578,1
32253,2
597,1
15578,1
22085,1
24081,3
27877,1
31514,3
35,1
1696,4
3605,1
5525,1
6118,1
13473,1
18874,1
31588,1
10597,1
13471,1
13995,1
23108,1
23884,4
26325,1
32417,1
183,2
2671,1
3126,2
9478,4
17176,4
18698,4
26803,1
28367,1
30933,5
12492,1
26846,1
30849,4
