id,complaint_percentile,unit,is_sup
24301,87.4556,District 001,0
843,67.3522,District 002,0
7000,74.1070,District 002,0
17534,76.6405,Forensic Services Division,0
19518,41.2941,Special Functions Support Unit,0
1336,38.3554,Central Investigations Division,0
1559,70.8685,District 011,0
3912,81.6514,Detective Area - South,0
4087,76.9478,District 024,0
5324,99.0359,District 015,0
7015,99.7774,District 002,0
7218,60.4562,District 003,0
7697,61.1440,Detective Area - Central,0
11322,34.0303,District 007,0
12310,39.7147,District 011,0
12340,44.1672,Information Services Division,0
15243,81.6423,Public Transportation Section,0
15619,28.0005,Troubled Building Unit,0
17364,63.1462,District 018,0
17991,83.8562,Special Investigations Unit,0
20959,97.1769,District 011,0
23239,96.7139,District 016,0
23448,81.7584,District 014,0
23765,73.9935,Narcotics Division,0
28416,80.8223,Detective Area - South,0
29909,38.9324,Marine Operations Unit,0
31588,77.2725,Narcotics Division,0
32228,67.5328,Vice & Asset Forfeiture Division,0
1250,67.3204,District 003,0
3549,98.2423,District 005,0
9079,89.5145,District 024,0
13813,30.3422,District 001,0
15293,51.2428,District 007,0
28830,75.0346,District 003,0
2369,97.0043,Central Investigations Division,0
5284,67.9454,Public Transportation Section,0
7043,93.9628,District 011,0
8562,99.9751,Special Functions Support Unit,0
10724,99.6905,District 015,0
12395,41.7141,District 025,0
13273,95.8122,Gang Enforcement - Area Central,0
13559,67.4920,District 014,0
16385,99.6943,District 004,0
18322,82.2896,Detective Area - Central,0
24525,92.8050,District 007,0
27440,35.3292,Bureau Of Internal Affairs,0
17582,54.1554,District 018,0
6228,56.6048,District 001,0
10203,83.3747,District 016,0
10614,95.7087,District 011,0
16812,91.2428,District 005,0
21681,36.6742,District 009,0
28697,40.6786,District 007,0
32057,69.8751,Narcotics Division,0
1760,62.2269,Detective Area - North,0
15999,85.4325,District 004,0
17873,64.0021,District 004,0
22619,36.8156,District 012,0
1022,75.4782,District 016,0
3477,67.8148,Gang Investigation Division,0
4103,87.6122,District 005,0
6050,36.9142,Detective Area - Central,0
10031,66.1648,District 018,0
18608,87.3868,District 004,0
22279,85.1821,District 010,0
28527,28.5936,District 004,0
28759,87.6581,District 014,0
29061,31.5895,District 009,0
30342,47.5470,Airport Law Enforcement Section - North,0
31838,95.9383,Narcotics Division,0
31242,43.7966,District 007,0
1953,18.0394,District 012,0
15426,79.5728,District 014,0
29606,58.8285,Special Weapons And Tactics (Swat) Unit,0
1553,99.7211,District 022,0
1561,69.9502,District 009,0
2365,84.7998,District 016,0
4000,81.3267,District 004,0
8394,97.3176,District 005,0
12893,24.8596,Airport Law Enforcement Section - North,0
14691,97.0005,District 006,0
17287,56.6266,Public Transportation Section,0
22081,88.8055,District 006,0
28130,82.7786,Human Resources Division,0
10966,72.4081,Canine Unit,0
17997,47.8012,District 005,0
24488,77.4884,District 019,0
26101,99.0542,District 006,0
31643,62.7488,District 002,0
220,70.1078,District 001,0
16973,68.8078,Gang Enforcement Division,0
17481,51.2199,District 022,0
19163,95.6020,District 004,0
22410,81.8883,District 004,0
25175,53.1351,District 014,0
25039,99.5147,District 008,0
30459,75.6104,Detective Area - Central,0
31920,83.4855,Narcotics Division,0
17817,77.1393,District 005,0
19048,94.9906,District 004,0
25766,42.4766,District 019,0
27722,88.1395,Detective Area - Central,0
27964,80.9866,Special Weapons And Tactics (Swat) Unit,0
28152,76.0651,District 016,0
4295,98.3761,Gang Enforcement - Area South,0
5390,68.1785,District 018,0
6713,96.6451,Detective Area - South,0
28879,99.3275,District 022,0
204,43.1776,Forensic Services Evidence Technician Section,0
8689,81.5743,District 025,0
15470,49.0217,Airport Law Enforcement Section - South,0
17843,60.1735,District 012,0
23484,76.7102,Detective Area - South,0
5652,54.4496,District 024,0
7272,75.7785,District 007,0
9131,86.1717,Detective Area - Central,0
10170,88.3077,District 009,0
13852,97.4055,District 005,0
16605,63.4213,Inspection Division,0
18185,36.5077,District 006,0
25279,84.8458,Office Of The First Deputy Superintendent,0
31862,83.5772,Narcotics Division,0
32020,98.7620,Narcotics Division,0
32412,49.0199,Vice & Asset Forfeiture Division,0
32425,92.3312,District 006,0
32369,98.0284,District 015,0
4233,96.8553,District 008,0
6747,93.3476,District 006,0
12740,40.3235,Detective Area - Central,0
19921,54.3816,District 004,0
29134,81.7088,District 011,0
32199,90.3787,Narcotics Division,0
2399,87.3409,Detective Area - North,0
5927,77.5854,Major Accident Investigation Unit,0
13473,87.0276,Detective Area - Central,0
14357,71.7817,Detective Area - Central,0
27799,53.6548,District 009,0
3232,18.0644,Detective Area - South,0
6964,18.0278,Forensic Services Division,0
9386,81.3737,District 020,0
23108,38.1166,District 003,0
25066,33.8364,District 006,0
26587,78.4382,District 004,0
28937,74.5711,District 004,0
2149,56.0176,Narcotics Division,0
