id,complaint_percentile,unit,is_sup,pagerank
7359,41.314,Public Transportation Section,0,1.004654195
17777,20.2323,District 008,0,1.004654195
17372,99.8013,District 020,0,1.004560832
31859,99.4421,Narcotics Division,0,1.004553872
17971,83.9173,District 009,0,1.004512208
20125,96.0223,District 003,0,1.00449362
1988,80.0553,District 008,0,1.004206148
16182,48.5308,District 002,0,1.004073921
17111,92.5605,Detective Area - South,0,1.00400697
30048,66.5031,District 008,0,1.003718385
11232,72.0225,Detective Area - Central,0,1.003621853
1359,56.9371,District 003,0,1.003514925
24367,42.1535,Airport Law Enforcement Section - North,0,1.003433559
14163,99.1135,District 007,0,1.003410058
32441,92.912,Narcotics Division,0,1.003322288
13415,88.4147,District 009,0,1.003266545
572,74.2157,Public Transportation Section,0,1.003139657
9677,72.5268,Detective Area - Central,0,1.00290245
23726,92.2395,Gang Enforcement - Area North,0,1.002651891
14218,93.7005,Detective Area - South,0,1.002609352
11046,56.0923,Gang Investigation Division,0,1.002151387
26455,78.7016,District 024,0,1.002120236
727,47.48,Gang Enforcement Division,0,1.002120236
15926,81.2655,District 024,0,1.002120236
28802,35.9418,District 024,0,1.002120236
14382,86.4698,District 024,0,1.002120236
10002,64.9345,District 025,0,1.002120236
6726,76.6574,Major Accident Investigation Unit,0,1.002120236
13991,43.8541,District 025,0,1.002120236
30911,93.8711,District 020,0,1.002120236
14190,92.8241,District 022,0,1.001858301
31258,57.2396,Detective Area - South,0,1.00163256
8049,42.677,District 018,0,1.001449455
1266,80.0695,Canine Unit,0,1.001265511
32213,99.2931,Narcotics Division,0,1.001203813
19913,79.3901,District 016,0,1.000757953
19456,64.1949,Traffic Section,0,1.000757045
886,30.9503,District 003,0,1.000757045
23593,53.2923,District 002,0,1.000757045
1060,55.5004,Detective Area - South,0,1.000757045
27047,30.043,Detective Area - South,0,1.000757045
4057,25.8454,Detective Area - South,0,1.000757045
22329,63.9402,Detective Area - Central,0,1.000757045
15565,55.252,Airport Law Enforcement Section - South,0,1.000682174
372,66.7762,Vice & Asset Forfeiture Division,0,1.000614433
7015,99.7774,District 002,0,1.000490018
14592,83.8065,Juvenile Intervention Support Center (Jisc),0,1.000373849
3220,82.905,Juvenile Intervention Support Center (Jisc),0,1.000233949
16302,98.9454,District 011,0,0.999749565
2375,98.9043,District 014,0,0.999634674
8134,82.0297,District 018,0,0.999634674
5524,80.4937,Public Transportation Section,0,0.999562075
31553,90.1802,Narcotics Division,0,0.999131647
5545,54.4496,Detective Area - South,0,0.999075837
7712,94.2559,Detective Area - South,0,0.999041955
31890,88.1854,Gang Investigation Division,0,0.999009127
27614,95.6479,District 025,0,0.99886259
16754,92.7996,District 018,0,0.99852161
32277,68.7555,Gang Investigation Division,0,0.99844484
31995,85.7934,Narcotics Division,0,0.998281172
8579,87.688,District 020,0,0.997980167
3520,73.0732,District 011,0,0.99797285
30085,82.6647,Gang Investigation Division,0,0.997823655
10349,73.4666,District 008,0,0.997686123
3339,19.5545,Detective Area - Central,0,0.997686123
27442,74.8156,District 009,0,0.997686123
19039,82.1167,District 006,0,0.997686123
16455,68.8984,District 008,0,0.997686123
22339,40.6788,District 008,0,0.997686123
8837,74.8783,District 018,0,0.997524788
24177,90.7035,District 012,0,0.997443244
