officer_id,officer_complaint_percentile,officer_unit_id,officer_unit_description,officer_unit_name,supervisor_id,supervisor_complaint_percentile,supervisor_unit_id,supervisor_unit_description,supervisor_unit_name,allegation_id
1844,79.5040,225,Public Transportation Section,701,30710,81.6094,3,District 002,002,53872
1871,73.5738,212,Detective Area - South,620,3709,33.1703,74,Crime Control Strategies Section,115,19717
1884,80.4287,10,District 009,009,13303,93.8405,27,Executive Officers Unit,026,65096
1891,90.2105,179,Special Weapons And Tactics (Swat) Unit,353,24996,88.8808,156,Bureau Of Patrol - Area Central,211,129448
1891,90.2105,179,Special Weapons And Tactics (Swat) Unit,353,24996,88.8808,156,Bureau Of Patrol - Area Central,211,133277
1892,47.6933,85,Inspection Division,126,30710,81.6094,3,District 002,002,53872
1892,47.6933,85,Inspection Division,126,6792,90.2105,19,District 018,018,157355
1931,72.3859,19,District 018,018,6792,90.2105,19,District 018,018,157355
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,48250
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,176074
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,169910
1932,83.5772,16,District 015,015,13498,42.5815,69,Office Of The Superintendent,111,159984
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,159984
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,138985
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,59713
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,135522
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,176859
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,44236
1948,94.3817,26,District 025,025,27392,86.8366,40,Detail Unit,057,139224
1988,80.0553,9,District 008,008,319,51.1788,105,Office Of The First Deputy Superintendent,140,122776
1988,80.0553,9,District 008,008,13303,93.8405,27,Executive Officers Unit,026,65096
2068,87.3562,173,Gang Enforcement - Area Central,311,13303,93.8405,27,Executive Officers Unit,026,65096
2144,73.7840,2,District 001,001,13303,93.8405,27,Executive Officers Unit,026,51251
2149,56.0176,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,139195
1547,78.0635,19,District 018,018,16870,49.7115,38,Mounted Unit,055,70160
1559,70.8685,12,District 011,011,32391,43.0897,183,Gang Enforcement Division,393,167676
1569,32.9656,11,District 010,010,32391,43.0897,183,Gang Enforcement Division,393,51670
1588,93.4278,7,District 006,006,674,52.6919,200,Arson Section,603,18847
1647,98.1621,12,District 011,011,8026,78.7933,26,District 025,025,93992
1650,61.9579,84,Information Services Division,125,10531,35.8603,206,Major Accident Investigation Unit,608,12941
1654,68.5261,136,Central Detention Unit,171,12478,99.5529,188,Special Activities Section,441,146320
1662,97.3750,173,Gang Enforcement - Area Central,311,15592,95.3231,179,Special Weapons And Tactics (Swat) Unit,353,75153
1672,88.3153,85,Inspection Division,126,15368,92.4497,13,District 012,012,45843
1706,70.2028,200,Arson Section,603,24996,88.8808,156,Bureau Of Patrol - Area Central,211,141446
1789,51.4156,6,District 005,005,7253,62.6189,7,District 006,006,129983
1891,90.2105,179,Special Weapons And Tactics (Swat) Unit,353,24996,88.8808,156,Bureau Of Patrol - Area Central,211,126759
1891,90.2105,179,Special Weapons And Tactics (Swat) Unit,353,24996,88.8808,156,Bureau Of Patrol - Area Central,211,123427
1891,90.2105,179,Special Weapons And Tactics (Swat) Unit,353,24996,88.8808,156,Bureau Of Patrol - Area Central,211,126300
1909,73.5432,21,District 020,020,27415,97.3062,36,Airport Law Enforcement Section - South,051,75799
1931,72.3859,19,District 018,018,6792,90.2105,19,District 018,018,156157
1931,72.3859,19,District 018,018,6792,90.2105,19,District 018,018,140676
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,44059
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,13382
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,103991
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,147419
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,158891
1932,83.5772,16,District 015,015,29882,94.1194,107,Bureau Of Patrol,142,147419
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,141664
1932,83.5772,16,District 015,015,1932,83.5772,16,District 015,015,173679
1938,41.4466,13,District 012,012,14684,88.1395,225,Public Transportation Section,701,142121
2020,68.0486,38,Mounted Unit,055,16617,93.7756,21,District 020,020,65435
2068,87.3562,173,Gang Enforcement - Area Central,311,13273,95.8122,173,Gang Enforcement - Area Central,311,108180
2119,89.9071,119,Special Functions Support Unit,153,4077,40.0520,79,Bureau Of Support Services,120,173205
2149,56.0176,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,130850
2149,56.0176,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,131989
2149,56.0176,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,130081
2150,58.1284,2,District 001,001,12478,99.5529,188,Special Activities Section,441,146320
2157,75.0869,11,District 010,010,13273,95.8122,173,Gang Enforcement - Area Central,311,52280
2174,38.7948,16,District 015,015,4620,50.4681,4,District 003,003,88801
2208,72.2835,4,District 003,003,24996,88.8808,156,Bureau Of Patrol - Area Central,211,141446
2346,95.2734,12,District 011,011,14192,73.1382,86,Research And Development Division,127,89331
2369,97.0043,204,Central Investigations Division,606,14630,98.2805,6,District 005,005,148693
2369,97.0043,204,Central Investigations Division,606,14630,98.2805,6,District 005,005,147045
2369,97.0043,204,Central Investigations Division,606,14630,98.2805,6,District 005,005,140891
2369,97.0043,204,Central Investigations Division,606,14630,98.2805,6,District 005,005,136077
2375,98.9043,15,District 014,014,12478,99.5529,188,Special Activities Section,441,146320
2399,87.3409,215,Detective Area - North,630,15368,92.4497,13,District 012,012,156005
2399,87.3409,215,Detective Area - North,630,15368,92.4497,13,District 012,012,150055
2400,99.2282,21,District 020,020,14808,24.8596,2,District 001,001,162493
2400,99.2282,21,District 020,020,27274,87.1232,204,Central Investigations Division,606,162493
2400,99.2282,21,District 020,020,27274,87.1232,204,Central Investigations Division,606,164693
2403,83.6231,225,Public Transportation Section,701,10531,35.8603,206,Major Accident Investigation Unit,608,12941
2433,85.2852,3,District 002,002,29882,94.1194,107,Bureau Of Patrol,142,2741
2474,69.4053,183,Gang Enforcement Division,393,29215,70.3068,11,District 010,010,170303
2478,62.0916,225,Public Transportation Section,701,7471,85.3043,215,Detective Area - North,630,157427
2541,51.8704,9,District 008,008,13273,95.8122,173,Gang Enforcement - Area Central,311,63503
2555,90.7247,19,District 018,018,11339,21.7493,136,Central Detention Unit,171,141645
2597,83.7206,212,Detective Area - South,620,20913,94.9792,9,District 008,008,133152
2600,93.8852,36,Airport Law Enforcement Section - South,051,11756,52.1914,126,General Support Division,161,175984
2604,17.6483,7,District 006,006,12478,99.5529,188,Special Activities Section,441,146320
2615,41.2876,8,District 007,007,12478,99.5529,188,Special Activities Section,441,146320
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,136709
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,147934
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,129274
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,143830
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,138633
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,138148
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,136066
2652,83.2542,12,District 011,011,7260,63.8073,180,Alternate Response Section,376,135447
2671,95.6173,173,Gang Enforcement - Area Central,311,13273,95.8122,173,Gang Enforcement - Area Central,311,108180
2693,69.4708,204,Central Investigations Division,606,24996,88.8808,156,Bureau Of Patrol - Area Central,211,141446
2725,99.3848,5,District 004,004,13303,93.8405,27,Executive Officers Unit,026,174895
2811,41.0913,84,Information Services Division,125,10531,35.8603,206,Major Accident Investigation Unit,608,12941
2821,49.0390,5,District 004,004,13273,95.8122,173,Gang Enforcement - Area Central,311,11707
2848,92.7362,21,District 020,020,24996,88.8808,156,Bureau Of Patrol - Area Central,211,25997
2232,50.6897,23,District 022,022,31984,90.1876,193,Detached Services - Goverment Security,542,56095
2237,49.2866,85,Inspection Division,126,24996,88.8808,156,Bureau Of Patrol - Area Central,211,142370
2301,49.1880,15,District 014,014,3471,42.1535,15,District 014,014,69526
2314,51.1788,189,Bomb Squad,442,3709,33.1703,74,Crime Control Strategies Section,115,144928
2322,86.1717,6,District 005,005,13701,42.1535,12,District 011,011,81088
2346,95.2734,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,79477
2356,98.9225,17,District 016,016,22393,81.4298,128,Records Inquiry Section,163,174995
2365,84.7998,17,District 016,016,16576,70.5743,194,Detached Services - Miscellaneous Detail,543,149032
2369,97.0043,204,Central Investigations Division,606,14630,98.2805,6,District 005,005,137526
2369,97.0043,204,Central Investigations Division,606,14630,98.2805,6,District 005,005,139890
2369,97.0043,204,Central Investigations Division,606,14630,98.2805,6,District 005,005,136840
2433,85.2852,3,District 002,002,29882,94.1194,107,Bureau Of Patrol,142,176992
2478,62.0916,225,Public Transportation Section,701,7471,85.3043,215,Detective Area - North,630,157202
2496,78.7579,208,Detective Area - Central,610,3850,56.9371,192,Fop Detail,541,140768
2520,74.3177,200,Arson Section,603,27570,48.6340,68,Office Of News Affairs,102,128890
2527,87.7498,7,District 006,006,20913,94.9792,9,District 008,008,63336
2600,93.8852,36,Airport Law Enforcement Section - South,051,11756,52.1914,126,General Support Division,161,1231
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,127196
2622,99.5720,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,124637
2622,99.5720,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,123514
2622,99.5720,149,Narcotics Division,189,25319,81.7202,5,District 004,004,142090
2725,99.3848,5,District 004,004,20913,94.9792,9,District 008,008,13330
2725,99.3848,5,District 004,004,13303,93.8405,27,Executive Officers Unit,026,171174
2741,92.8891,208,Detective Area - Central,610,3850,56.9371,192,Fop Detail,541,178866
2749,81.3649,15,District 014,014,22393,81.4298,128,Records Inquiry Section,163,174995
2788,70.9755,2,District 001,001,12479,97.8258,212,Detective Area - South,620,38586
2820,77.6738,12,District 011,011,8026,78.7933,26,District 025,025,141686
2849,77.8266,23,District 022,022,6792,90.2105,19,District 018,018,71084
2930,70.7348,215,Detective Area - North,630,18434,78.0635,142,Forensic Services Division,177,166052
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,41650
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,126125
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,85457
2946,29.3867,126,General Support Division,161,4131,49.9026,55,Special Investigations Unit,079,136451
2957,89.4587,107,Bureau Of Patrol,142,30412,61.4497,96,Chicago Alternative Policing Strategy (Caps) Division,135,14488
2981,79.7486,23,District 022,022,6792,90.2105,19,District 018,018,71084
3126,99.7036,5,District 004,004,16605,63.4213,85,Inspection Division,126,173549
3145,77.1885,23,District 022,022,20913,94.9792,9,District 008,008,63336
3259,84.7044,212,Detective Area - South,620,11756,52.1914,126,General Support Division,161,1231
3277,98.6130,2,District 001,001,24996,88.8808,156,Bureau Of Patrol - Area Central,211,143139
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,124316
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,54104
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,110438
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,122692
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,96257
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,131017
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,136576
2945,68.4116,134,Police Documents Section,169,2945,68.4116,134,Police Documents Section,169,160043
2957,89.4587,107,Bureau Of Patrol,142,8026,78.7933,26,District 025,025,63509
2960,35.3292,88,Management And Labor Affairs Section,129,25319,81.7202,5,District 004,004,129274
2978,85.0106,23,District 022,022,12478,99.5529,188,Special Activities Section,441,146320
2996,80.8720,16,District 015,015,4620,50.4681,4,District 003,003,88801
3083,53.1005,155,Asset Forfeiture Investigation Section,196,319,51.1788,105,Office Of The First Deputy Superintendent,140,137164
3083,53.1005,155,Asset Forfeiture Investigation Section,196,8026,78.7933,26,District 025,025,142452
3083,53.1005,155,Asset Forfeiture Investigation Section,196,8026,78.7933,26,District 025,025,137164
3126,99.7036,5,District 004,004,16605,63.4213,85,Inspection Division,126,171355
3220,82.9050,182,Juvenile Intervention Support Center (Jisc),384,12478,99.5529,188,Special Activities Section,441,154119
3220,82.9050,182,Juvenile Intervention Support Center (Jisc),384,12478,99.5529,188,Special Activities Section,441,137452
3226,87.2263,175,Gang Enforcement - Area North,313,14192,73.1382,86,Research And Development Division,127,89331
