officer_id,officer_complaint_percentile,officer_unit_id,officer_unit_description,officer_unit_name,supervisor_id,supervisor_complaint_percentile,supervisor_unit_id,supervisor_unit_description,supervisor_unit_name,allegation_id
30834,97.8870,4,District 003,003,9970,97.9863,132,Evidence And Recovered Property Section,167,28719
30877,71.0443,208,Detective Area - Central,610,14630,98.2805,6,District 005,005,130120
30898,65.3724,80,Bureau Of Internal Affairs,121,30180,61.9579,8,District 007,007,141168
30925,62.6168,38,Mounted Unit,055,30180,61.9579,8,District 007,007,141168
30933,93.4278,25,District 024,024,31984,90.1876,193,Detached Services - Goverment Security,542,59836
30933,93.4278,25,District 024,024,6792,90.2105,19,District 018,018,59836
30933,93.4278,25,District 024,024,6792,90.2105,19,District 018,018,59589
30933,93.4278,25,District 024,024,31984,90.1876,193,Detached Services - Goverment Security,542,57949
30933,93.4278,25,District 024,024,31984,90.1876,193,Detached Services - Goverment Security,542,59589
30959,84.9070,5,District 004,004,23492,94.2952,174,Gang Enforcement - Area South,312,66345
30989,83.9173,5,District 004,004,6792,90.2105,19,District 018,018,63076
31034,78.0100,212,Detective Area - South,620,14684,88.1395,225,Public Transportation Section,701,123007
31052,94.7576,19,District 018,018,27274,87.1232,204,Central Investigations Division,606,164693
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,59589
31119,99.8357,6,District 005,005,31984,90.1876,193,Detached Services - Goverment Security,542,59589
31119,99.8357,6,District 005,005,31984,90.1876,193,Detached Services - Goverment Security,542,63234
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,59836
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,65493
31119,99.8357,6,District 005,005,31984,90.1876,193,Detached Services - Goverment Security,542,64828
31119,99.8357,6,District 005,005,31984,90.1876,193,Detached Services - Goverment Security,542,59836
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,64828
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,63234
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,68000
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,71155
31170,39.3299,3,District 002,002,29215,70.3068,11,District 010,010,90588
31191,98.1927,20,District 019,019,18434,78.0635,142,Forensic Services Division,177,67762
31211,95.5963,2,District 001,001,27415,97.3062,36,Airport Law Enforcement Section - South,051,125923
31223,78.6176,7,District 006,006,3850,56.9371,192,Fop Detail,541,82662
31260,70.2380,179,Special Weapons And Tactics (Swat) Unit,353,4077,40.0520,79,Bureau Of Support Services,120,173205
31307,92.8356,20,District 019,019,27797,98.4563,160,Freedom Of Information Section,214,87219
31307,92.8356,20,District 019,019,27797,98.4563,160,Freedom Of Information Section,214,88248
31307,92.8356,20,District 019,019,27797,98.4563,160,Freedom Of Information Section,214,94558
31307,92.8356,20,District 019,019,27797,98.4563,160,Freedom Of Information Section,214,107945
31332,60.5747,13,District 012,012,29722,35.0770,18,District 017,017,149244
31380,87.4135,20,District 019,019,6792,90.2105,19,District 018,018,59589
31380,87.4135,20,District 019,019,31984,90.1876,193,Detached Services - Goverment Security,542,59589
31390,48.8916,18,District 017,017,12478,99.5529,188,Special Activities Section,441,146320
31423,84.8726,26,District 025,025,20533,56.1499,25,District 024,024,3021
31423,84.8726,26,District 025,025,20533,56.1499,25,District 024,024,176183
31443,97.5087,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,71659
31444,76.0460,11,District 010,010,10531,35.8603,206,Major Accident Investigation Unit,608,12941
31456,80.8108,75,Deployment Operations Center,116,9970,97.9863,132,Evidence And Recovered Property Section,167,156979
31456,80.8108,75,Deployment Operations Center,116,9970,97.9863,132,Evidence And Recovered Property Section,167,149426
31482,97.3259,26,District 025,025,27392,86.8366,40,Detail Unit,057,125607
31510,29.1037,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,151289
31522,65.1141,17,District 016,016,11756,52.1914,126,General Support Division,161,175984
31541,72.6071,20,District 019,019,15791,61.2052,175,Gang Enforcement - Area North,313,76062
31551,98.6856,175,Gang Enforcement - Area North,313,18434,78.0635,142,Forensic Services Division,177,67762
31553,90.1802,149,Narcotics Division,189,25319,81.7202,5,District 004,004,136709
31553,90.1802,149,Narcotics Division,189,25319,81.7202,5,District 004,004,136066
31553,90.1802,149,Narcotics Division,189,25319,81.7202,5,District 004,004,138148
31578,99.1785,174,Gang Enforcement - Area South,312,13303,93.8405,27,Executive Officers Unit,026,67347
31578,99.1785,174,Gang Enforcement - Area South,312,13303,93.8405,27,Executive Officers Unit,026,59458
31588,77.2725,149,Narcotics Division,189,25319,81.7202,5,District 004,004,147934
31612,92.4894,9,District 008,008,14684,88.1395,225,Public Transportation Section,701,123437
31641,73.5432,9,District 008,008,20913,94.9792,9,District 008,008,144196
31724,91.4405,5,District 004,004,9970,97.9863,132,Evidence And Recovered Property Section,167,21608
31756,94.9792,20,District 019,019,12478,99.5529,188,Special Activities Section,441,146320
31761,80.6236,5,District 004,004,6792,90.2105,19,District 018,018,63076
31789,62.0534,21,District 020,020,27415,97.3062,36,Airport Law Enforcement Section - South,051,75799
31815,97.1457,153,Gang Investigation Division,193,13273,95.8122,173,Gang Enforcement - Area Central,311,64448
31818,95.5103,153,Gang Investigation Division,193,16605,63.4213,85,Inspection Division,126,171355
31818,95.5103,153,Gang Investigation Division,193,16605,63.4213,85,Inspection Division,126,173196
31819,83.2907,174,Gang Enforcement - Area South,312,23492,94.2952,174,Gang Enforcement - Area South,312,83286
31819,83.2907,174,Gang Enforcement - Area South,312,13273,95.8122,173,Gang Enforcement - Area Central,311,91331
31821,86.3016,12,District 011,011,8026,78.7933,26,District 025,025,93992
31827,90.8869,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,78513
31838,95.9383,149,Narcotics Division,189,23492,94.2952,174,Gang Enforcement - Area South,312,66345
31841,95.2963,149,Narcotics Division,189,7471,85.3043,215,Detective Area - North,630,176393
31845,89.8323,149,Narcotics Division,189,7471,85.3043,215,Detective Area - North,630,157427
31849,44.2857,151,Intelligence Section,191,7253,62.6189,7,District 006,006,60530
31852,99.0753,149,Narcotics Division,189,18434,78.0635,142,Forensic Services Division,177,67762
31859,99.4421,149,Narcotics Division,189,24996,88.8808,156,Bureau Of Patrol - Area Central,211,25997
31859,99.4421,149,Narcotics Division,189,4131,49.9026,55,Special Investigations Unit,079,95205
31862,83.5772,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,78513
31873,95.4492,10,District 009,009,15592,95.3231,179,Special Weapons And Tactics (Swat) Unit,353,75153
31878,95.3918,149,Narcotics Division,189,32391,43.0897,183,Gang Enforcement Division,393,167676
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,68000
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,59836
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,62480
31882,99.8051,149,Narcotics Division,189,31984,90.1876,193,Detached Services - Goverment Security,542,59589
31882,99.8051,149,Narcotics Division,189,31984,90.1876,193,Detached Services - Goverment Security,542,69624
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,64828
31882,99.8051,149,Narcotics Division,189,31984,90.1876,193,Detached Services - Goverment Security,542,63234
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,63234
31882,99.8051,149,Narcotics Division,189,31984,90.1876,193,Detached Services - Goverment Security,542,64828
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,71155
30795,98.6457,7,District 006,006,1932,83.5772,16,District 015,015,169910
30817,91.9262,5,District 004,004,20913,94.9792,9,District 008,008,13330
30841,91.2313,3,District 002,002,30710,81.6094,3,District 002,002,53872
30863,45.4575,212,Detective Area - South,620,1932,83.5772,16,District 015,015,169910
30888,85.2012,2,District 001,001,12478,99.5529,188,Special Activities Section,441,18671
30959,84.9070,5,District 004,004,23492,94.2952,174,Gang Enforcement - Area South,312,65533
30981,67.8728,85,Inspection Division,126,30180,61.9579,8,District 007,007,130961
30992,87.7078,7,District 006,006,12479,97.8258,212,Detective Area - South,620,90501
31005,93.3629,212,Detective Area - South,620,12478,99.5529,188,Special Activities Section,441,18671
31027,60.8224,136,Central Detention Unit,171,32209,56.9371,149,Narcotics Division,189,149370
31052,94.7576,19,District 018,018,27274,87.1232,204,Central Investigations Division,606,164101
31052,94.7576,19,District 018,018,27274,87.1232,204,Central Investigations Division,606,163819
31081,51.6411,212,Detective Area - South,620,18434,78.0635,142,Forensic Services Division,177,166052
31098,92.5681,208,Detective Area - Central,610,18434,78.0635,142,Forensic Services Division,177,141811
31098,92.5681,208,Detective Area - Central,610,18434,78.0635,142,Forensic Services Division,177,145902
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,65283
31119,99.8357,6,District 005,005,31984,90.1876,193,Detached Services - Goverment Security,542,65283
31119,99.8357,6,District 005,005,31984,90.1876,193,Detached Services - Goverment Security,542,63160
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,65752
31119,99.8357,6,District 005,005,12478,99.5529,188,Special Activities Section,441,27417
31119,99.8357,6,District 005,005,12478,99.5529,188,Special Activities Section,441,28073
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,63160
31119,99.8357,6,District 005,005,12478,99.5529,188,Special Activities Section,441,28060
31119,99.8357,6,District 005,005,6792,90.2105,19,District 018,018,65274
31119,99.8357,6,District 005,005,31984,90.1876,193,Detached Services - Goverment Security,542,65752
31233,82.5434,7,District 006,006,20913,94.9792,9,District 008,008,166556
31242,43.7966,8,District 007,007,9970,97.9863,132,Evidence And Recovered Property Section,167,49373
31260,70.2380,179,Special Weapons And Tactics (Swat) Unit,353,22393,81.4298,128,Records Inquiry Section,163,64617
31261,62.0513,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,139195
31307,92.8356,20,District 019,019,27797,98.4563,160,Freedom Of Information Section,214,103872
31307,92.8356,20,District 019,019,27797,98.4563,160,Freedom Of Information Section,214,93652
31363,95.9306,19,District 018,018,6792,90.2105,19,District 018,018,71084
31363,95.9306,19,District 018,018,12478,99.5529,188,Special Activities Section,441,27417
31381,58.0948,16,District 015,015,14192,73.1382,86,Research And Development Division,127,106632
31410,71.9400,3,District 002,002,13303,93.8405,27,Executive Officers Unit,026,65096
31423,84.8726,26,District 025,025,20533,56.1499,25,District 024,024,177172
31427,64.0021,20,District 019,019,7260,63.8073,180,Alternate Response Section,376,99935
31443,97.5087,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,103872
31444,76.0460,11,District 010,010,22393,81.4298,128,Records Inquiry Section,163,138379
31471,68.7020,212,Detective Area - South,620,22393,81.4298,128,Records Inquiry Section,163,64617
31473,80.9484,18,District 017,017,27392,86.8366,40,Detail Unit,057,80843
31478,39.4146,5,District 004,004,27570,48.6340,68,Office Of News Affairs,102,128890
31485,90.8983,2,District 001,001,9970,97.9863,132,Evidence And Recovered Property Section,167,149755
31522,65.1141,17,District 016,016,11756,52.1914,126,General Support Division,161,1231
31526,42.4974,18,District 017,017,7260,63.8073,180,Alternate Response Section,376,167165
31553,90.1802,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,124637
31553,90.1802,149,Narcotics Division,189,12628,75.2130,151,Intelligence Section,191,123514
31565,95.3116,19,District 018,018,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
31565,95.3116,19,District 018,018,13273,95.8122,173,Gang Enforcement - Area Central,311,60462
31578,99.1785,174,Gang Enforcement - Area South,312,13303,93.8405,27,Executive Officers Unit,026,60924
31578,99.1785,174,Gang Enforcement - Area South,312,27392,86.8366,40,Detail Unit,057,80843
31578,99.1785,174,Gang Enforcement - Area South,312,13303,93.8405,27,Executive Officers Unit,026,59377
31590,80.0886,19,District 018,018,30180,61.9579,8,District 007,007,130961
31626,71.6051,36,Airport Law Enforcement Section - South,051,27570,48.6340,68,Office Of News Affairs,102,128890
31631,99.7555,23,District 022,022,27797,98.4563,160,Freedom Of Information Section,214,53186
31631,99.7555,23,District 022,022,27797,98.4563,160,Freedom Of Information Section,214,62140
31641,73.5432,9,District 008,008,7471,85.3043,215,Detective Area - North,630,128708
31641,73.5432,9,District 008,008,7471,85.3043,215,Detective Area - North,630,124853
31641,73.5432,9,District 008,008,7471,85.3043,215,Detective Area - North,630,131253
31802,95.8618,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
31803,87.4594,183,Gang Enforcement Division,393,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
31811,63.3029,149,Narcotics Division,189,29882,94.1194,107,Bureau Of Patrol,142,37654
31811,63.3029,149,Narcotics Division,189,12478,99.5529,188,Special Activities Section,441,37654
31818,95.5103,153,Gang Investigation Division,193,27392,86.8366,40,Detail Unit,057,80843
31819,83.2907,174,Gang Enforcement - Area South,312,23492,94.2952,174,Gang Enforcement - Area South,312,106596
31834,95.8924,153,Gang Investigation Division,193,13303,93.8405,27,Executive Officers Unit,026,67094
31839,78.3921,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
31845,89.8323,149,Narcotics Division,189,7471,85.3043,215,Detective Area - North,630,157202
31859,99.4421,149,Narcotics Division,189,30412,61.4497,96,Chicago Alternative Policing Strategy (Caps) Division,135,141830
31873,95.4492,10,District 009,009,27415,97.3062,36,Airport Law Enforcement Section - South,051,90323
31873,95.4492,10,District 009,009,13303,93.8405,27,Executive Officers Unit,026,67719
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,63160
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,65274
31882,99.8051,149,Narcotics Division,189,31984,90.1876,193,Detached Services - Goverment Security,542,63160
31882,99.8051,149,Narcotics Division,189,6792,90.2105,19,District 018,018,65752
31882,99.8051,149,Narcotics Division,189,31984,90.1876,193,Detached Services - Goverment Security,542,65752
31890,88.1854,153,Gang Investigation Division,193,27274,87.1232,204,Central Investigations Division,606,33413
31890,88.1854,153,Gang Investigation Division,193,27274,87.1232,204,Central Investigations Division,606,70986
31894,94.1806,10,District 009,009,27415,97.3062,36,Airport Law Enforcement Section - South,051,97813
31896,97.0960,153,Gang Investigation Division,193,12478,99.5529,188,Special Activities Section,441,37654
31896,97.0960,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,37654
31902,96.3930,153,Gang Investigation Division,193,8026,78.7933,26,District 025,025,170275
31910,99.3810,153,Gang Investigation Division,193,8026,78.7933,26,District 025,025,170275
31912,97.1419,151,Intelligence Section,191,13273,95.8122,173,Gang Enforcement - Area Central,311,178852
31912,97.1419,151,Intelligence Section,191,13273,95.8122,173,Gang Enforcement - Area Central,311,5671
31920,83.4855,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
31924,88.4567,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,74639
31924,88.4567,149,Narcotics Division,189,13303,93.8405,27,Executive Officers Unit,026,51251
31928,87.9447,149,Narcotics Division,189,4362,34.3472,20,District 019,019,1197
31934,90.6538,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,74639
31934,90.6538,149,Narcotics Division,189,29882,94.1194,107,Bureau Of Patrol,142,176992
31945,96.0911,149,Narcotics Division,189,29882,94.1194,107,Bureau Of Patrol,142,176992
31946,90.1379,149,Narcotics Division,189,27797,98.4563,160,Freedom Of Information Section,214,79477
31950,93.2406,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
31961,91.0244,153,Gang Investigation Division,193,22393,81.4298,128,Records Inquiry Section,163,16973
31970,83.5772,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,169096
31975,80.4020,153,Gang Investigation Division,193,12478,99.5529,188,Special Activities Section,441,29398
31980,92.8585,153,Gang Investigation Division,193,13303,93.8405,27,Executive Officers Unit,026,64740
31983,96.8706,149,Narcotics Division,189,8026,78.7933,26,District 025,025,170275
31984,90.1876,193,Detached Services - Goverment Security,542,6792,90.2105,19,District 018,018,63160
31984,90.1876,193,Detached Services - Goverment Security,542,31984,90.1876,193,Detached Services - Goverment Security,542,65752
31984,90.1876,193,Detached Services - Goverment Security,542,31984,90.1876,193,Detached Services - Goverment Security,542,56095
31984,90.1876,193,Detached Services - Goverment Security,542,6792,90.2105,19,District 018,018,65283
31984,90.1876,193,Detached Services - Goverment Security,542,6792,90.2105,19,District 018,018,65752
31984,90.1876,193,Detached Services - Goverment Security,542,31984,90.1876,193,Detached Services - Goverment Security,542,65283
31984,90.1876,193,Detached Services - Goverment Security,542,31984,90.1876,193,Detached Services - Goverment Security,542,63160
31991,84.6395,151,Intelligence Section,191,23836,51.4692,148,Bureau Of Organized Crime,188,165337
31991,84.6395,151,Intelligence Section,191,7061,45.4473,178,Canine Unit,341,57236
31992,80.1230,149,Narcotics Division,189,14192,73.1382,86,Research And Development Division,127,106632
31995,85.7934,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,74639
31997,92.9196,149,Narcotics Division,189,27392,86.8366,40,Detail Unit,057,80843
32000,88.1013,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
32008,78.4265,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,74639
32015,98.3226,149,Narcotics Division,189,16617,93.7756,21,District 020,020,70167
32015,98.3226,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,86058
32015,98.3226,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,90323
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,75551
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,77191
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,82714
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,75057
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,80414
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,81489
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,86058
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,90323
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,78619
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,79933
32016,99.4192,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,73790
32018,89.5992,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,74639
32020,98.7620,149,Narcotics Division,189,24996,88.8808,156,Bureau Of Patrol - Area Central,211,154774
32020,98.7620,149,Narcotics Division,189,12478,99.5529,188,Special Activities Section,441,7560
32032,97.2833,153,Gang Investigation Division,193,12478,99.5529,188,Special Activities Section,441,37654
32032,97.2833,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,37654
32032,97.2833,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,76785
32037,71.9995,15,District 014,014,3471,42.1535,15,District 014,014,69526
32042,74.1622,26,District 025,025,13498,42.5815,69,Office Of The Superintendent,111,63609
32057,69.8751,149,Narcotics Division,189,27392,86.8366,40,Detail Unit,057,80843
32066,60.9071,153,Gang Investigation Division,193,16576,70.5743,194,Detached Services - Miscellaneous Detail,543,149032
32067,95.9650,149,Narcotics Division,189,13273,95.8122,173,Gang Enforcement - Area Central,311,25281
32068,92.5758,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
32073,77.8725,152,Vice & Asset Forfeiture Division,192,29882,94.1194,107,Bureau Of Patrol,142,76785
32074,93.1795,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,135745
32074,93.1795,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,73356
32074,93.1795,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,131549
32074,93.1795,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,153268
32074,93.1795,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,137711
32074,93.1795,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,123305
32078,88.3153,149,Narcotics Division,189,25319,81.7202,5,District 004,004,142090
32079,94.0392,10,District 009,009,27415,97.3062,36,Airport Law Enforcement Section - South,051,97813
32079,94.0392,10,District 009,009,27415,97.3062,36,Airport Law Enforcement Section - South,051,90323
32081,74.5100,152,Vice & Asset Forfeiture Division,192,29882,94.1194,107,Bureau Of Patrol,142,76785
32095,81.9724,183,Gang Enforcement Division,393,6792,90.2105,19,District 018,018,30966
32098,43.9456,153,Gang Investigation Division,193,32098,43.9456,153,Gang Investigation Division,193,86649
32098,43.9456,153,Gang Investigation Division,193,32098,43.9456,153,Gang Investigation Division,193,155273
32101,54.7591,16,District 015,015,14192,73.1382,86,Research And Development Division,127,106632
32107,96.4312,149,Narcotics Division,189,25319,81.7202,5,District 004,004,78202
32107,96.4312,149,Narcotics Division,189,20913,94.9792,9,District 008,008,13330
32109,35.0770,155,Asset Forfeiture Investigation Section,196,32109,35.0770,155,Asset Forfeiture Investigation Section,196,84352
32109,35.0770,155,Asset Forfeiture Investigation Section,196,7260,63.8073,180,Alternate Response Section,376,84352
32116,98.8040,11,District 010,010,27797,98.4563,160,Freedom Of Information Section,214,93652
32116,98.8040,11,District 010,010,27797,98.4563,160,Freedom Of Information Section,214,79477
32120,89.8475,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
32135,91.2308,19,District 018,018,13273,95.8122,173,Gang Enforcement - Area Central,311,60462
32135,91.2308,19,District 018,018,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
32148,94.6467,153,Gang Investigation Division,193,29882,94.1194,107,Bureau Of Patrol,142,76785
32155,71.2812,149,Narcotics Division,189,13273,95.8122,173,Gang Enforcement - Area Central,311,60462
32155,71.2812,149,Narcotics Division,189,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
32159,99.8166,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,78619
32159,99.8166,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,77191
32159,99.8166,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,80075
32159,99.8166,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,80414
32159,99.8166,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,79933
32159,99.8166,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,73790
32164,99.8472,149,Narcotics Division,189,13303,93.8405,27,Executive Officers Unit,026,171174
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,82714
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,75551
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,78619
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,75057
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,80414
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,97813
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,73790
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,86058
32164,99.8472,149,Narcotics Division,189,20913,94.9792,9,District 008,008,13330
32164,99.8472,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,80075
32165,93.3132,149,Narcotics Division,189,7471,85.3043,215,Detective Area - North,630,149385
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,28060
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,158316
32166,99.8892,7,District 006,006,24996,88.8808,156,Bureau Of Patrol - Area Central,211,155288
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,37654
32166,99.8892,7,District 006,006,29882,94.1194,107,Bureau Of Patrol,142,37654
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,37194
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,33005
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,28073
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,27417
32166,99.8892,7,District 006,006,29882,94.1194,107,Bureau Of Patrol,142,76785
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,25087
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,21146
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,18671
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,14852
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,13902
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,178241
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,179925
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,181168
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,824
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,7790
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,4685
32166,99.8892,7,District 006,006,12478,99.5529,188,Special Activities Section,441,7012
32166,99.8892,7,District 006,006,29882,94.1194,107,Bureau Of Patrol,142,73356
32167,94.3984,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,90323
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,86058
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,78619
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,90323
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,80414
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,82714
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,75551
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,81489
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,75057
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,79933
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,97813
32172,98.8384,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,73790
32177,39.7883,153,Gang Investigation Division,193,13303,93.8405,27,Executive Officers Unit,026,67094
32179,52.3175,151,Intelligence Section,191,29882,94.1194,107,Bureau Of Patrol,142,76785
32190,96.8629,149,Narcotics Division,189,27797,98.4563,160,Freedom Of Information Section,214,79477
32194,98.0742,149,Narcotics Division,189,27415,97.3062,36,Airport Law Enforcement Section - South,051,97813
32197,97.8832,153,Gang Investigation Division,193,7471,85.3043,215,Detective Area - North,630,157202
32198,95.6440,149,Narcotics Division,189,13303,93.8405,27,Executive Officers Unit,026,125519
32209,56.9371,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,107480
32209,56.9371,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
32209,56.9371,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,163706
32209,56.9371,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,142217
